id,name,team,height,weight,year,position,hometown,state,country,latitude,longitude
4361025,Jack Tuttle,Michigan,76.0,211.0,4.0,QB,San Marcos,CA,USA,33.1352995,-117.1743395
4361991,Cam Goode,Michigan,73.0,314.0,4.0,DL,Washington,DC,USA,38.8950368,-77.0365427
4369467,Zach Peterson,Michigan,73.0,190.0,4.0,WR,Roswell,GA,USA,34.02332,-84.360022
4372062,Michael Barrett,Michigan,72.0,239.0,4.0,LB,Valdosta,GA,USA,30.8327022,-83.2784851
4372065,German Green,Michigan,74.0,190.0,4.0,DB,Desoto,TX,USA,32.5897831,-96.8570183
4426450,Trente Jones,Michigan,76.0,325.0,4.0,OL,Grayson,GA,USA,33.8942729,-83.95574
4426479,Cornelius Johnson,Michigan,75.0,208.0,4.0,WR,Greenwich,CT,USA,41.0264862,-73.6284598
4426638,Karsen Barnhart,Michigan,77.0,316.0,4.0,OL,Paw Paw,MI,USA,42.2178171,-85.8911246
4427140,Trevor Keegan,Michigan,78.0,320.0,4.0,OL,Crystal Lake,IL,USA,42.2411344,-88.3161965
4427448,LaDarius Henderson,Michigan,76.0,315.0,4.0,OL,Waxahachie,TX,USA,32.3944908,-96.8439365
4427736,Caden Kolesar,Michigan,70.0,195.0,4.0,DB,Westlake,OH,USA,41.4553232,-81.9179174
4428144,Drake Nugent,Michigan,74.0,301.0,4.0,OL,Lone Tree,CO,USA,39.5364152,-104.9041528
4428414,Mike Sainristil,Michigan,70.0,182.0,4.0,DB,Everett,MA,USA,42.40843,-71.0536625
4429000,Myles Hinton,Michigan,78.0,342.0,4.0,OL,Johns Creek,GA,USA,34.0181557,-84.190196
4429005,Braiden McGregor,Michigan,78.0,267.0,4.0,DE,Port Huron,MI,USA,42.9760854,-82.4333742
4429058,Jaylen Harrell,Michigan,76.0,242.0,4.0,DE,Tampa,FL,USA,27.9477595,-82.458444
4429096,Blake Corum,Michigan,68.0,213.0,4.0,RB,Marshall,VA,USA,38.8646975,-77.8580207
4429121,Kalel Mullings,Michigan,74.0,233.0,4.0,RB,West Roxbury,MA,USA,42.2792649,-71.1494972
4429139,Makari Paige,Michigan,76.0,208.0,4.0,DB,West Bloomfield,MI,USA,42.567616099999995,-83.35925641168916
4429552,Eamonn Dennis,Michigan,69.0,194.0,4.0,WR,Worcester,MA,USA,42.2625621,-71.8018877
4429913,Quinten Johnson,Michigan,71.0,203.0,4.0,DB,Washington,DC,USA,38.8950368,-77.0365427
4430638,Joey Velazquez,Michigan,71.0,226.0,4.0,LB,Columbus,OH,USA,39.9622601,-83.0007065
4430915,Reece Atteberry,Michigan,77.0,309.0,4.0,DL,Aurora,CO,USA,39.7405111,-104.830994
4431212,Junior Colson,Michigan,75.0,247.0,3.0,LB,Brentwood,TN,USA,36.0325687,-86.7825235
4431256,Cristian Dixon,Michigan,74.0,197.0,3.0,WR,Santa Ana,CA,USA,33.7494951,-117.873221
4431317,Jeffrey Persi,Michigan,80.0,310.0,4.0,OL,Mission Viejo,CA,USA,33.5965685,-117.659405
4431492,Roman Wilson,Michigan,72.0,192.0,4.0,WR,Honolulu,HI,USA,21.304547,-157.855676
4431536,Donovan Edwards,Michigan,73.0,212.0,4.0,RB,West Bloomfield,MI,USA,42.567616099999995,-83.35925641168916
4431538,Giovanni El-Hadi,Michigan,77.0,310.0,4.0,OL,Sterling Heights,MI,USA,42.5803122,-83.0302033
4432260,Matthew Hibner,Michigan,77.0,254.0,4.0,TE,Burke,VA,USA,38.778416,-77.27496377315485
4432301,Kris Jenkins,Michigan,75.0,305.0,4.0,DL,Olney,MD,USA,39.1532123,-77.0668408
4432658,Raheem Anderson,Michigan,75.0,318.0,4.0,OL,Detroit,MI,USA,42.3315509,-83.0466403
4432661,Rayshaun Benny,Michigan,76.0,296.0,4.0,DL,Detroit,MI,USA,42.3315509,-83.0466403
4432684,Greg Crippen,Michigan,76.0,309.0,4.0,OL,Northborough,MA,USA,42.3196015,-71.6422408
4433963,Zak Zinter,Michigan,78.0,322.0,4.0,OL,North Andover,MA,USA,42.6839894,-71.1127065
4433970,J.J. McCarthy,Michigan,75.0,202.0,3.0,QB,La Grange Park,IL,USA,41.8333646,-87.8677324
4571267,Dale Chesson,Michigan,72.0,194.0,4.0,WR,Saint Louis,MO,USA,38.6280278,-90.1910154
4572041,Danny Hughes,Michigan,72.0,208.0,4.0,RB,Naperville,IL,USA,41.7728699,-88.1479278
4572043,Leon Franklin,Michigan,69.0,205.0,4.0,RB,Southfield,MI,USA,42.4733689,-83.2218731
4572050,Keshaun Harris,Michigan,71.0,192.0,4.0,DB,Lansing,MI,USA,42.7338254,-84.5546295
4572051,William Wagner,Michigan,74.0,245.0,4.0,LS,Alpharetta,GA,USA,34.0709576,-84.2747329
4572371,Josh Wallace,Michigan,72.0,190.0,4.0,DB,Hyattsville,MD,USA,38.9529442,-76.9408647
4575529,James Turner,Michigan,72.0,196.0,4.0,PK,Saline,MI,USA,42.1667072,-83.7816075
4576297,AJ Barner,Michigan,78.0,251.0,4.0,TE,Aurora,OH,USA,41.317555,-81.345386
4594984,Tavierre Dunlap,Michigan,72.0,229.0,4.0,RB,Del Valle,TX,USA,,
4596357,Kechaun Bennett,Michigan,76.0,257.0,4.0,DE,Suffield,CT,USA,41.9816944,-72.6506604
4599197,Tristan Bounds,Michigan,80.0,305.0,4.0,OL,Wallingford,CT,USA,41.4570418,-72.8231552
4600387,TJ Guy,Michigan,76.0,250.0,4.0,DE,Mansfield,MA,USA,42.0334326,-71.2189405
4603101,Rod Moore,Michigan,72.0,198.0,4.0,DB,Clayton,OH,USA,39.8631101,-84.3605022
4611768,Jaydon Hood,Michigan,73.0,225.0,4.0,LB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786
4682698,Dominick Giudice,Michigan,76.0,310.0,4.0,OL,Freehold,NJ,USA,40.2601096,-74.2737573
4682758,Tommy Doman,Michigan,76.0,215.0,4.0,PK,Rochester Hills,MI,USA,42.6583661,-83.1499322
4682983,Josaiah Stewart,Michigan,73.0,245.0,4.0,DE,Everett,MA,USA,42.40843,-71.0536625
4683118,Ja'Den McBurrows,Michigan,71.0,194.0,4.0,DB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786
4683262,Tyler McLaurin,Michigan,75.0,252.0,4.0,DE,Bolingbrook,IL,USA,41.7003302,-88.0717708
4685297,Darrius Clemons,Michigan,75.0,211.0,3.0,WR,Portland,OR,USA,45.5202471,-122.674194
4685311,Jayden Denegal,Michigan,77.0,235.0,3.0,QB,Apple Valley,CA,USA,34.5008311,-117.1858759
4685408,Will Johnson,Michigan,74.0,202.0,3.0,DB,Detroit,MI,USA,42.3315509,-83.0466403
4685422,Kody Jones,Michigan,71.0,193.0,3.0,DB,Memphis,TN,USA,35.1460249,-90.0517638
4685461,Derrick Moore,Michigan,75.0,256.0,3.0,DE,Baltimore,MD,USA,39.2908816,-76.610759
4685464,Tyler Morris,Michigan,71.0,185.0,3.0,WR,Bolingbrook,IL,USA,41.7003302,-88.0717708
4685495,Alex Orji,Michigan,75.0,235.0,3.0,QB,Sachse,TX,USA,32.9762327,-96.5952703
4685507,Keon Sabb,Michigan,73.0,206.0,2.0,DB,Glassboro,NJ,USA,39.7027677,-75.1119434
4685535,CJ Stokes,Michigan,70.0,205.0,2.0,RB,Columbia,SC,USA,34.0003117,-81.0331309
4690298,Jake Thaw,Michigan,73.0,192.0,4.0,WR,Westport,CT,USA,41.1414855,-73.3578955
4690299,Christian Bartholomew,Michigan,72.0,187.0,4.0,WR,Galesburg,MI,USA,42.2886529,-85.418056
4690300,Will Rolapp,Michigan,72.0,198.0,4.0,WR,Darien,CT,USA,41.0787079,-73.4692873
4690303,Joshua Luther,Michigan,69.0,182.0,4.0,DB,Clarkston,MI,USA,42.735863,-83.4188304
4690304,Greg Tarr,Michigan,74.0,215.0,4.0,LS,Washington,MI,USA,42.30216872697333,-83.25715296952143
4690305,Jerome Nichols,Michigan,72.0,235.0,4.0,LB,Belleville,MI,USA,42.2048414,-83.4852106
4690306,Noah Stewart,Michigan,79.0,292.0,4.0,OL,Muskegon,MI,USA,43.2341813,-86.2483921
4695705,Marlin Klein,Michigan,78.0,247.0,3.0,TE,Cologne,,Germany,50.938361,6.959974
4696688,Josh Beetham,Michigan,77.0,250.0,3.0,TE,Yorkville,IL,USA,41.6411409,-88.4472948
4701937,Myles Pollard,Michigan,73.0,194.0,3.0,DB,Brentwood,TN,USA,36.0325687,-86.7825235
4702755,Amorion Walker,Michigan,75.0,182.0,3.0,WR,Ponchatoula,LA,USA,30.4388041,-90.4414762
4711413,Connor Jones,Michigan,78.0,320.0,3.0,OL,Monument,CO,USA,39.0916586,-104.872758
4712882,Ike Iwunnah,Michigan,75.0,313.0,4.0,DL,Garland,TX,USA,32.912624,-96.6388833
4723086,Colston Loveland,Michigan,77.0,245.0,3.0,TE,Gooding,ID,USA,43.0031041,-114.8286924
4751681,Ernest Hausmann,Michigan,74.0,235.0,3.0,LB,Columbus,NE,USA,41.4292988,-97.3581439
4794102,Zeke Berry,Michigan,71.0,196.0,3.0,DB,Pittsburg,CA,USA,38.0181745,-121.8901232
4808746,Micah Pollard,Michigan,74.0,234.0,3.0,LB,Jacksonville,FL,USA,30.3321838,-81.655651
4868340,Joey Klunder,Michigan,75.0,275.0,3.0,DE,Grosse Pointe,MI,USA,42.3861485,-82.9118591
4869584,Alessandro Lorenzetti,Michigan,77.0,285.0,3.0,DL,Montreal,PQ,Canada,-23.404971710844034,-51.954573388054044
4870641,Semaj Bridgeman,Michigan,74.0,223.0,1.0,LB,Philadelphia,PA,USA,39.9527237,-75.1635262
4870699,Karmello English,Michigan,71.0,190.0,1.0,WR,Phenix City,AL,USA,32.4709761,-85.0007653
4870704,Enow Etta,Michigan,77.0,308.0,2.0,DL,Keller,TX,USA,32.9299655,-97.2271249
4870717,Nathan Efobi,Michigan,75.0,307.0,2.0,OL,Cumming,GA,USA,34.2073196,-84.1401926
4870775,Amir Herring,Michigan,75.0,300.0,1.0,OL,Southfield,MI,USA,42.4733689,-83.2218731
4873232,Mason Graham,Michigan,75.0,320.0,3.0,DL,Anaheim,CA,USA,33.8347516,-117.911732
4878681,Davis Warren,Michigan,74.0,195.0,4.0,QB,Los Angeles,CA,USA,34.0536909,-118.242766
4878682,Jesse Madden,Michigan,73.0,180.0,3.0,DB,Oakland,CA,USA,37.8044557,-122.271356
4878686,Peyton O'Leary,Michigan,75.0,203.0,4.0,WR,Byfield,MA,USA,42.7598138,-70.9481097
4878687,Joe Taylor,Michigan,70.0,190.0,4.0,WR,Chelsea,MI,USA,42.3180163,-84.020224
4878688,Christian Boivin,Michigan,72.0,225.0,4.0,LB,Traverse City,MI,USA,44.7606481,-85.6165976
4878690,Trevor Andrews,Michigan,73.0,224.0,3.0,LB,Brentwood,TN,USA,36.0325687,-86.7825235
4878691,Noah Howes,Michigan,76.0,240.0,4.0,TE,Rochester,MI,USA,42.680588,-83.1338214
4878694,Peter Simmons,Michigan,73.0,285.0,4.0,DL,Bonita Springs,FL,USA,26.339806,-81.7786972
4878695,Max Bredeson,Michigan,74.0,240.0,4.0,TE,Hartland,WI,USA,43.105008,-88.3420398
4894654,Kenneth Grant,Michigan,75.0,339.0,3.0,DL,Merrillville,IN,USA,41.4828144,-87.3328139
4896353,Jimmy Rolder,Michigan,74.0,240.0,3.0,LB,Orland Park,IL,USA,41.630663,-87.8536288
4896390,Brandon Mann,Michigan,75.0,245.0,3.0,TE,Franklin,MI,USA,42.5222567,-83.3060432
4899352,Deakon Tonielli,Michigan,77.0,238.0,2.0,TE,Oswego,IL,USA,41.6834778,-88.3525714
4899366,Semaj Morgan,Michigan,70.0,174.0,2.0,WR,West Bloomfield,MI,USA,42.567616099999995,-83.35925641168916
4899479,Evan Link,Michigan,78.0,328.0,2.0,OL,Burke,VA,USA,38.778416,-77.27496377315485
4905609,Fredrick Moore,Michigan,73.0,181.0,2.0,WR,Saint Louis,MO,USA,38.6280278,-90.1910154
4907672,Adam Samaha,Michigan,71.0,195.0,2.0,PK,Ypsilanti,MI,USA,42.241051,-83.6117646
4910827,Evan Boutorwick,Michigan,75.0,230.0,3.0,LS,Sterling Heights,MI,USA,42.5803122,-83.0302033
4912156,Andrew Gentry,Michigan,79.0,327.0,3.0,OL,Littleton,CO,USA,39.613321,-105.016649
4917858,Cole Cabana,Michigan,72.0,204.0,2.0,RB,Dexter,MI,USA,42.3372998,-83.8842
4918431,Breeon Ishmail,Michigan,75.0,260.0,2.0,DE,Hamilton,OH,USA,39.2085354,-84.5501874
4918449,Jyaire Hill,Michigan,74.0,185.0,2.0,DB,Kankakee,IL,USA,41.1253903,-87.848682
4921240,Brooks Bahr,Michigan,77.0,319.0,2.0,DL,Lake Forest,IL,USA,42.2586461,-87.8407055
4923036,Cameron Brandt,Michigan,76.0,265.0,2.0,DE,Chatsworth,CA,USA,34.2572499,-118.6017022
4923052,Cameron Calhoun,Michigan,72.0,177.0,1.0,CB,Cincinnati,OH,USA,39.1014537,-84.5124602
5008017,Benjamin Hall,Michigan,71.0,235.0,2.0,RB,Acworth,GA,USA,34.0659329,-84.6768796
5077503,Hayden Moore,Michigan,74.0,222.0,1.0,LB,Parker,CO,USA,39.5184514,-104.7612638
5080968,Aymeric Koumba,Michigan,77.0,260.0,2.0,DE,Bordeaux,,France,44.841225,-0.5800364
5085243,Hudson Hollenbeck,Michigan,74.0,206.0,3.0,PK,Collierville,TN,USA,35.042036,-89.6645266
5086014,Joshua Nichols,Michigan,70.0,205.0,3.0,DB,Detroit,MI,USA,42.3315509,-83.0466403
5086016,Nico Andrighetto,Michigan,69.0,190.0,3.0,DB,Mountain View,CA,USA,37.3893889,-122.0832101
5086017,Logan Forbes,Michigan,74.0,195.0,3.0,WR,Clarkston,MI,USA,42.735863,-83.4188304
5086018,Bryce Wilcox,Michigan,71.0,191.0,3.0,DB,Sharpsburg,GA,USA,33.3392842,-84.6485417
5086019,Joel Metzger,Michigan,73.0,230.0,4.0,LB,Battle Creek,MI,USA,42.3192548,-85.1824269
5086021,Henry Donohue,Michigan,71.0,215.0,4.0,RB,Bronxville,NY,USA,40.9381544,-73.8320784
5086022,James Kavouklis,Michigan,73.0,284.0,3.0,OL,Tampa,FL,USA,27.9477595,-82.458444
5086026,Chibi Anwunah,Michigan,77.0,278.0,3.0,DE,Canton,MI,USA,32.612602,-90.0367512
5088628,Zack Marshall,Michigan,76.0,235.0,2.0,TE,Solana Beach,CA,USA,32.9905597,-117.269131
5091783,Jason Hewlett,Michigan,74.0,227.0,2.0,LB,Youngstown,OH,USA,41.1035786,-80.6520161
5092246,Cordell Jones-McNally,Michigan,68.0,175.0,1.0,PK,Marcellus,MI,USA,42.0258779,-85.8155576
5092262,DJ Waller Jr.,Michigan,75.0,202.0,2.0,DB,Youngstown,OH,USA,41.1035786,-80.6520161
5103804,Brandyn Hillman,Michigan,72.0,200.0,2.0,DB,Portsmouth,VA,USA,36.8320081,-76.297699
5108220,Kendrick Bell,Michigan,74.0,191.0,2.0,WR,Kansas City,MO,USA,39.100105,-94.5781416
5156342,Jack Grusser,Michigan,72.0,175.0,1.0,QB,Franklin Lakes,NJ,USA,41.0167639,-74.2057012
5156344,Micah Davis,Michigan,73.0,203.0,2.0,DB,Dexter,MI,USA,42.3372998,-83.8842
5156345,Grayson Dee,Michigan,73.0,235.0,2.0,LB,Pittsburgh,PA,USA,40.4416941,-79.9900861
5156346,Jack MacKinnon,Michigan,76.0,250.0,2.0,LB,Sarasota,FL,USA,27.3365805,-82.5308545
5156347,Liam Groulx,Michigan,72.0,225.0,2.0,LB,Charlotte,NC,USA,35.2272086,-80.8430827
5156348,Bryson Kuzdzal,Michigan,71.0,198.0,2.0,RB,Ada,MI,USA,42.9547136,-85.4879523
5156349,Jalen Hoffman,Michigan,75.0,235.0,2.0,TE,Burke,VA,USA,38.778416,-77.27496377315485
5156350,Cole Morgan,Michigan,76.0,275.0,2.0,OL,Princeton,NJ,USA,40.3496953,-74.6597376
5156351,John Weidenbach,Michigan,72.0,215.0,2.0,LB,Naperville,IL,USA,41.7728699,-88.1479278
5156352,Stone Anderson,Michigan,74.0,190.0,2.0,PK,Deerfield,MA,USA,42.5442595,-72.6044771
5156353,Trey Pierce,Michigan,74.0,315.0,2.0,DL,Evergreen Park,IL,USA,41.720136,-87.7013258
4360423,Michael Penix Jr.,Washington,75.0,213.0,4.0,QB,Tampa,FL,USA,27.9477595,-82.458444
4361094,Dominique Hampton,Washington,75.0,220.0,4.0,CB,Glendale,AZ,USA,33.5386858,-112.185994
4361095,Richard Newton,Washington,72.0,223.0,4.0,RB,Lancaster,CA,USA,34.6981064,-118.1366153
4361100,Jack Westover,Washington,75.0,248.0,4.0,TE,Bellevue,WA,USA,47.6144219,-122.192337
4361105,Zion Tupuola-Fetui,Washington,76.0,254.0,4.0,DE,Pearl City,HI,USA,21.4001231,-157.969428
4361107,Ulumoo Ale,Washington,78.0,327.0,4.0,DL,Tacoma,WA,USA,47.2455013,-122.438329
4361109,Matteo Mele,Washington,78.0,298.0,4.0,OL,Tucson,AZ,USA,32.2228765,-110.974847
4361112,Devin Culp,Washington,76.0,237.0,4.0,TE,Spokane,WA,USA,47.6571934,-117.42351
4361113,Tuli Letuligasenoa,Washington,73.0,292.0,4.0,DL,Concord,CA,USA,37.9768525,-122.0335624
4374280,Edefuan Ulofoshio,Washington,73.0,236.0,4.0,LB,Anchorage,AK,USA,61.2163129,-149.894852
4426352,Jacob Bandes,Washington,75.0,307.0,4.0,DL,Pittsburg,CA,USA,38.0181745,-121.8901232
4426380,Faatui Tuitele,Washington,75.0,317.0,3.0,DL,Honolulu,HI,USA,21.304547,-157.855676
4426821,Julius Buelow,Washington,80.0,315.0,4.0,OL,Kapolei,HI,USA,21.3340079,-158.077849
4427160,Kamren Fabiculanan,Washington,73.0,200.0,4.0,S,Camarillo,CA,USA,34.2176371,-119.0383541
4427170,Troy Fautanu,Washington,76.0,317.0,3.0,OL,Henderson,NV,USA,36.0319843,-114.9822486
4427219,Drew Fowler,Washington,73.0,222.0,4.0,LB,Bellevue,WA,USA,47.6144219,-122.192337
4427294,Ralen Goforth,Washington,74.0,237.0,4.0,LB,Long Beach,CA,USA,33.7690164,-118.191604
4427569,Giles Jackson,Washington,69.0,187.0,4.0,WR,Antioch,CA,USA,38.0049214,-121.805789
4427676,Nate Kalepo,Washington,78.0,325.0,4.0,OL,Renton,WA,USA,47.4799078,-122.2034496
4428713,Bralen Trice,Washington,76.0,274.0,3.0,DE,Phoenix,AZ,USA,33.4484367,-112.074141
4428726,Alphonzo Tuputala,Washington,74.0,230.0,4.0,LB,Federal Way,WA,USA,47.313494,-122.33931
4429089,Geirean Hatchett,Washington,77.0,312.0,4.0,OL,Ferndale,WA,USA,48.8466698,-122.589723
4429186,Sam Adams II,Washington,74.0,212.0,3.0,RB,Kirkland,WA,USA,47.6765382,-122.2070775
4429490,Carson Bruener,Washington,74.0,226.0,4.0,LB,Woodinville,WA,USA,47.7545827,-122.1588902
4429694,Makell Esteen,Washington,73.0,202.0,3.0,S,Hawthorne,CA,USA,33.9128272,-118.3426122
4430565,Will Nixon,Washington,71.0,202.0,3.0,RB,Waco,TX,USA,31.5491899,-97.1474628
4430616,Asa Turner,Washington,75.0,210.0,4.0,DB,Carlsbad,CA,USA,33.1580933,-117.3505966
