id,name,stars,school,height,weight,year,position,hometown,state,country
4360423,Michael Penix Jr.,3,Washington,75,213,4,QB,Tampa,FL,USA
4361025,Jack Tuttle,4,Michigan,76,211,4,QB,San Marcos,CA,USA
4361094,Dominique Hampton,3,Washington,75,220,4,CB,Glendale,AZ,USA
4361095,Richard Newton,3,Washington,72,223,4,RB,Lancaster,CA,USA
4361100,Jack Westover,0,Washington,75,248,4,TE,Bellevue,WA,USA
4361105,Zion Tupuola-Fetui,3,Washington,76,254,4,DE,Pearl City,HI,USA
4361107,Ulumoo Ale,3,Washington,78,327,4,DL,Tacoma,WA,USA
4361109,Matteo Mele,3,Washington,78,298,4,OL,Tucson,AZ,USA
4361112,Devin Culp,3,Washington,76,237,4,TE,Spokane,WA,USA
4361113,Tuli Letuligasenoa,4,Washington,73,292,4,DL,Concord,CA,USA
4361991,Cam Goode,3,Michigan,73,314,4,DL,Washington,DC,USA
4362103,Christian Jones,3,Texas,78,321,4,OL,Cypress,TX,USA
4363417,Jaylen Key,3,Alabama,74,210,4,DB,Tallahassee,FL,USA
4369467,Zach Peterson,0,Michigan,73,190,4,WR,Roswell,GA,USA
4372062,Michael Barrett,3,Michigan,72,239,4,LB,Valdosta,GA,USA
4372065,German Green,3,Michigan,74,190,4,DB,Desoto,TX,USA
4374280,Edefuan Ulofoshio,2,Washington,73,236,4,LB,Anchorage,AK,USA
4426352,Jacob Bandes,4,Washington,75,307,4,DL,Pittsburg,CA,USA
4426380,Faatui Tuitele,4,Washington,75,317,3,DL,Honolulu,HI,USA
4426398,David Gbenda,4,Texas,72,235,4,LB,Katy,TX,USA
4426450,Trente Jones,4,Michigan,76,325,4,OL,Grayson,GA,USA
4426479,Cornelius Johnson,4,Michigan,75,208,4,WR,Greenwich,CT,USA
4426638,Karsen Barnhart,4,Michigan,77,316,4,OL,Paw Paw,MI,USA
4426651,Patrick Bayouth,3,Texas,76,281,4,TE,Bellaire,TX,USA
4426677,Trezmen Marshall,4,Alabama,73,236,3,LB,Homerville,GA,USA
4426821,Julius Buelow,4,Washington,80,315,4,OL,Kapolei,HI,USA
4426836,Jett Bush,2,Texas,74,242,4,LB,Houston,TX,USA
4427140,Trevor Keegan,4,Michigan,78,320,4,OL,Crystal Lake,IL,USA
4427160,Kamren Fabiculanan,4,Washington,73,200,4,S,Camarillo,CA,USA
4427170,Troy Fautanu,4,Washington,76,317,3,OL,Henderson,NV,USA
4427219,Drew Fowler,3,Washington,73,222,4,LB,Bellevue,WA,USA
4427294,Ralen Goforth,3,Washington,74,237,4,LB,Long Beach,CA,USA
4427448,LaDarius Henderson,3,Michigan,76,315,4,OL,Waxahachie,TX,USA
4427569,Giles Jackson,4,Washington,69,187,4,WR,Antioch,CA,USA
4427676,Nate Kalepo,4,Washington,78,325,4,OL,Renton,WA,USA
4427736,Caden Kolesar,0,Michigan,70,195,4,DB,Westlake,OH,USA
4428116,Isaiah Neyor,2,Texas,76,220,4,WR,Fort Worth,TX,USA
4428144,Drake Nugent,3,Michigan,74,301,4,OL,Lone Tree,CO,USA
4428414,Mike Sainristil,3,Michigan,70,182,4,DB,Everett,MA,USA
4428617,T'Vondre Sweat,3,Texas,76,362,4,DL,Huntsville,TX,USA
4428713,Bralen Trice,3,Washington,76,274,3,DE,Phoenix,AZ,USA
4428726,Alphonzo Tuputala,3,Washington,74,230,4,LB,Federal Way,WA,USA
4428989,Chris Braswell,5,Alabama,75,255,4,LB,Baltimore,MD,USA
4429000,Myles Hinton,4,Michigan,78,342,4,OL,Johns Creek,GA,USA
4429001,Jase McClellan,5,Alabama,71,212,4,RB,Aledo,TX,USA
4429005,Braiden McGregor,4,Michigan,78,267,4,DE,Port Huron,MI,USA
4429033,Jermaine Burton,4,Alabama,72,194,4,WR,Calabasas,CA,USA
4429040,Vernon Broughton,4,Texas,76,305,4,DL,Houston,TX,USA
4429058,Jaylen Harrell,4,Michigan,76,242,4,DE,Tampa,FL,USA
4429089,Geirean Hatchett,4,Washington,77,312,4,OL,Ferndale,WA,USA
4429096,Blake Corum,4,Michigan,68,213,4,RB,Marshall,VA,USA
4429121,Kalel Mullings,4,Michigan,74,233,4,RB,West Roxbury,MA,USA
4429139,Makari Paige,4,Michigan,76,208,4,DB,West Bloomfield,MI,USA
4429186,Sam Adams II,4,Washington,74,212,3,RB,Kirkland,WA,USA
4429187,Seth McLaughlin,3,Alabama,76,305,4,OL,Buford,GA,USA
4429381,Trill Carter,3,Texas,72,299,4,DL,Leesburg,GA,USA
4429490,Carson Bruener,3,Washington,74,226,4,LB,Woodinville,WA,USA
4429552,Eamonn Dennis,3,Michigan,69,194,4,WR,Worcester,MA,USA
4429694,Makell Esteen,3,Washington,73,202,3,S,Hawthorne,CA,USA
4429913,Quinten Johnson,4,Michigan,71,203,4,DB,Washington,DC,USA
4430565,Will Nixon,3,Washington,71,202,3,RB,Waco,TX,USA
4430616,Asa Turner,4,Washington,75,210,4,DB,Carlsbad,CA,USA
4430637,Ja'Lynn Polk,3,Washington,74,204,2,WR,Lufkin,TX,USA
4430638,Joey Velazquez,3,Michigan,71,226,4,LB,Columbus,OH,USA
4430810,Daniyel Ngata,4,Washington,69,191,4,RB,Folsom,CA,USA
4430814,Jake Majors,4,Texas,75,315,4,OL,Prosper,TX,USA
4430821,Kitan Crawford,4,Texas,71,206,4,S,Tyler,TX,USA
4430834,Jalen McMillan,5,Washington,73,192,3,WR,Fresno,CA,USA
4430835,Alfred Collins,5,Texas,77,320,4,DL,Bastrop,TX,USA
4430876,Roger Rosengarten,4,Washington,78,300,2,OL,Highlands Ranch,CO,USA
4430888,Jerrin Thompson,4,Texas,72,186,4,S,Lufkin,TX,USA
4430915,Reece Atteberry,3,Michigan,77,309,4,DL,Aurora,CO,USA
4430925,Jahdae Barron,4,Texas,71,200,4,DB,Pflugerville,TX,USA
4431212,Junior Colson,4,Michigan,75,247,3,LB,Brentwood,TN,USA
4431214,Hayden Conner,3,Texas,77,320,4,OL,Katy,TX,USA
4431256,Cristian Dixon,4,Michigan,74,197,3,WR,Santa Ana,CA,USA
4431264,Gaard Memmelaar,3,Washington,76,299,3,OL,Caldwell,ID,USA
4431288,Monkell Goodwine,4,Alabama,75,311,3,DT,Upper Marlboro,MD,USA
4431299,Rome Odunze,4,Washington,75,215,3,WR,Las Vegas,NV,USA
4431317,Jeffrey Persi,4,Michigan,80,310,4,OL,Mission Viejo,CA,USA
4431414,Tim Keenan III,4,Alabama,74,326,3,DL,Birmingham,AL,USA
4431437,JC Latham,5,Alabama,78,360,3,OL,Oak Creek,WI,USA
4431492,Roman Wilson,4,Michigan,72,192,4,WR,Honolulu,HI,USA
4431500,Kendrick Blackshire,4,Alabama,73,250,4,LB,Duncanville,TX,USA
4431503,Damon Payne Jr.,5,Alabama,76,313,3,DL,Belleville,MI,USA
4431506,Ja'Corey Brooks,0,Alabama,75,195,4,WR,Miami,FL,USA
4431513,Tyler Buchner,4,Alabama,73,215,4,WR,San Diego,CA,USA
4431529,Jaeden Roberts,4,Alabama,77,310,3,OL,Houston,TX,USA
4431536,Donovan Edwards,5,Michigan,73,212,4,RB,West Bloomfield,MI,USA
4431538,Giovanni El-Hadi,4,Michigan,77,310,4,OL,Sterling Heights,MI,USA
4431542,TJ Ferguson,5,Alabama,76,330,3,OL,Fort Valley,GA,USA
4431588,Ja'Tavion Sanders,5,Texas,76,243,3,TE,Denton,TX,USA
4432260,Matthew Hibner,4,Michigan,77,254,4,TE,Burke,VA,USA
4432272,Gavin Holmes,3,Texas,71,185,4,DB,New Orleans,LA,USA
4432301,Kris Jenkins,3,Michigan,75,305,4,DL,Olney,MD,USA
4432440,Jabbar Muhammad,3,Washington,70,183,4,DB,Desoto,TX,USA
4432466,Samuel Peacock,3,Washington,78,296,2,OL,Gig Harbor,WA,USA
4432658,Raheem Anderson,4,Michigan,75,318,4,OL,Detroit,MI,USA
4432661,Rayshaun Benny,4,Michigan,76,296,4,DL,Detroit,MI,USA
4432684,Greg Crippen,4,Michigan,76,309,4,OL,Northborough,MA,USA
4432725,Deontae Lawson,5,Alabama,74,239,3,LB,Mobile,AL,USA
4432734,Jalen Milroe,4,Alabama,74,225,3,QB,Katy,TX,USA
4433963,Zak Zinter,4,Michigan,78,322,4,OL,North Andover,MA,USA
4433970,J.J. McCarthy,5,Michigan,75,202,3,QB,La Grange Park,IL,USA
4433975,Kool-Aid McKinstry,5,Alabama,73,195,3,DB,Birmingham,AL,USA
4489406,Chase Davis,0,Alabama,73,182,3,DB,Tuscaloosa,AL,USA
4565190,Dallas Turner,5,Alabama,76,242,3,LB,Fort Lauderdale,FL,USA
4566088,Jaylan Ford,3,Texas,75,242,4,LB,Frisco,TX,USA
4567095,Keilan Robinson,4,Texas,69,188,4,RB,Washington,DC,USA
4567104,Will Reichard,3,Alabama,73,194,4,PK,Hoover,AL,USA
4567132,Darrian Dalcourt,4,Alabama,75,310,4,OL,Havre De Grace,MD,USA
4567138,Justin Eboigbe,4,Alabama,77,292,4,DL,Forest Park,GA,USA
4567148,Jalen Catalon,4,Texas,71,205,4,DB,Mansfield,TX,USA
4567783,James Brockermeyer,4,Alabama,75,285,3,OL,Fort Worth,TX,USA
4568075,Juan Davis,3,Texas,76,235,4,TE,Fort Worth,TX,USA
4569337,Ryan Sanborn,3,Texas,75,211,1,P,San Diego,CA,USA
4569382,Jordan Whittington,5,Texas,73,204,4,WR,Cuero,TX,USA
4569409,Gabriel Lozano,0,Texas,73,185,4,PK,Austin,TX,USA
4569594,Cameron Davis,4,Washington,72,214,4,RB,Bryant,AR,USA
4569598,Dylan Morris,4,Washington,73,202,4,QB,Puyallup,WA,USA
4569600,Mishael Powell,3,Washington,73,210,4,DB,Seattle,WA,USA
4570039,Keanu Koht,5,Alabama,76,242,3,LB,Vero Beach,FL,USA
4570040,Byron Murphy II,4,Texas,73,308,3,DL,Desoto,TX,USA
4571267,Dale Chesson,0,Michigan,72,194,4,WR,Saint Louis,MO,USA
4572041,Danny Hughes,0,Michigan,72,208,4,RB,Naperville,IL,USA
4572043,Leon Franklin,0,Michigan,69,205,4,RB,Southfield,MI,USA
4572050,Keshaun Harris,0,Michigan,71,192,4,DB,Lansing,MI,USA
4572051,William Wagner,0,Michigan,74,245,4,LS,Alpharetta,GA,USA
4572371,Josh Wallace,3,Michigan,72,190,4,DB,Hyattsville,MD,USA
4574689,Trey Amos,3,Alabama,73,200,4,CB,New Iberia,LA,USA
4574713,Jaden Green,3,Washington,71,214,3,LS,Gilbert,AZ,USA
4575529,James Turner,0,Michigan,72,196,4,PK,Saline,MI,USA
4575923,Elijah Jackson,3,Washington,73,193,3,CB,Carson,CA,USA
4576297,AJ Barner,3,Michigan,78,251,4,TE,Aurora,OH,USA
4578494,Sawyer Goram-Welch,3,Texas,76,307,4,DL,Longview,TX,USA
4581579,Sekai Asoau-Afoa,0,Washington,76,263,4,DE,Tacoma,WA,USA
4588194,Dyson McCutcheon,3,Washington,71,182,3,DB,Claremont,CA,USA
4592570,Ian Jackson,4,Alabama,74,220,3,LB,Prattville,AL,USA
4592837,Terrion Arnold,5,Alabama,72,196,2,DB,Tallahassee,FL,USA
4594449,DeVonta Smith,0,Alabama,72,205,3,DB,Cincinnati,OH,USA
4594984,Tavierre Dunlap,3,Michigan,72,229,4,RB,Del Valle,TX,USA
4596357,Kechaun Bennett,4,Michigan,76,257,4,DE,Suffield,CT,USA
4596545,CJ Dippre,3,Alabama,77,262,4,TE,SCOTT TOWNSHIP,PA,USA
4597500,Adonai Mitchell,4,Texas,76,196,3,WR,Missouri City,TX,USA
4599197,Tristan Bounds,3,Michigan,80,305,4,OL,Wallingford,CT,USA
4600387,TJ Guy,3,Michigan,76,250,4,DE,Mansfield,MA,USA
4602016,Anquin Barnes Jr.,0,Alabama,77,314,2,DL,Montgomery,AL,USA
4602199,Charles Wright,3,Texas,73,203,2,QB,Austin,TX,USA
4602936,Morice Blackwell Jr.,4,Texas,73,220,4,LB,Arlington,TX,USA
4603101,Rod Moore,3,Michigan,72,198,4,DB,Clayton,OH,USA
4603190,Casey Cain,3,Texas,75,200,3,WR,New Orleans,LA,USA
4611768,Jaydon Hood,4,Michigan,73,225,4,LB,Fort Lauderdale,FL,USA
4678008,Jonathon Brooks,4,Texas,72,207,2,RB,Hallettsville,TX,USA
4682698,Dominick Giudice,3,Michigan,76,310,4,OL,Freehold,NJ,USA
4682758,Tommy Doman,3,Michigan,76,215,4,PK,Rochester Hills,MI,USA
4682983,Josaiah Stewart,3,Michigan,73,245,4,DE,Everett,MA,USA
4683062,Xavier Worthy,5,Texas,73,172,3,WR,Fresno,CA,USA
4683118,Ja'Den McBurrows,3,Michigan,71,194,4,DB,Fort Lauderdale,FL,USA
4683138,Voi Tunuufi,3,Washington,73,282,4,EDGE,South Jordan,UT,USA
4683181,Robert Wyrsch,3,Washington,79,293,2,OL,Capitola,CA,USA
4683262,Tyler McLaurin,3,Michigan,75,252,4,DE,Bolingbrook,IL,USA
4683386,William Haskell,3,Washington,76,200,2,QB,Glendale,AZ,USA
4683554,Darren Barkins,3,Washington,71,169,3,CB,Spring Valley,CA,USA
4683643,Barryn Sorrell,3,Texas,76,260,4,LB,New Orleans,LA,USA
4684069,Maurice Heims,3,Washington,77,263,3,EDGE,Hamburg,,Germany
4685092,Ryan Watts,4,Texas,75,213,4,DB,Little Elm,TX,USA
4685240,Malik Agbo,4,Texas,76,300,2,OL,Federal Way,WA,USA
4685241,BJ Allen Jr.,4,Texas,72,191,2,S,Aledo,TX,USA
4685243,Jeremiah Alexander,5,Alabama,74,232,2,LB,Alabaster,AL,USA
4685260,Kelvin Banks Jr.,5,Texas,76,320,3,OL,Humble,TX,USA
4685261,Germie Bernard,4,Washington,73,209,3,WR,Henderson,NV,USA
4685263,Tyler Booker,0,Alabama,77,325,3,OL,New Haven,CT,USA
4685279,Jaydon Blue,4,Texas,72,200,3,RB,Houston,TX,USA
4685287,Jihaad Campbell,5,Alabama,75,244,3,LB,Erial,NJ,USA
4685297,Darrius Clemons,4,Michigan,75,211,3,WR,Portland,OR,USA
4685311,Jayden Denegal,3,Michigan,77,235,3,QB,Apple Valley,CA,USA
4685322,Tristan Dunn,3,Washington,76,191,2,S,Sumner,WA,USA
4685331,Justice Finkley,4,Texas,74,250,3,LB,Trussville,AL,USA
4685375,Jaylon Guilbeau,4,Texas,72,190,3,DB,Port Arthur,TX,USA
4685381,Emmanuel Henderson Jr.,5,Alabama,73,187,3,WR,Hartford,AL,USA
4685408,Will Johnson,5,Michigan,74,202,3,DB,Detroit,MI,USA
4685410,Austin Jordan,4,Texas,72,198,3,DB,Denton,TX,USA
4685422,Kody Jones,4,Michigan,71,193,3,DB,Memphis,TN,USA
4685437,Earl Little Jr.,4,Alabama,73,186,2,DB,Fort Lauderdale,FL,USA
4685441,Kendrick Law,4,Alabama,71,209,3,WR,Shreveport,LA,USA
4685461,Derrick Moore,5,Michigan,75,256,3,DE,Baltimore,MD,USA
4685464,Tyler Morris,4,Michigan,71,185,3,WR,Bolingbrook,IL,USA
4685477,Jam Miller,4,Alabama,70,218,3,RB,Tyler,TX,USA
4685487,Jehiem Oatis,5,Alabama,77,325,3,DL,Columbia,MS,USA
4685495,Alex Orji,3,Michigan,75,235,3,QB,Sachse,TX,USA
4685497,Maalik Murphy,4,Texas,77,230,2,QB,Inglewood,CA,USA
4685500,Shawn Murphy,5,Alabama,74,230,2,LB,Manassas,VA,USA
4685505,Khurtiss Perry,5,Alabama,74,265,2,DL,Pike Road,AL,USA
4685506,Ryan Otton,4,Washington,78,257,2,TE,Tumwater,WA,USA
4685507,Keon Sabb,4,Michigan,73,206,2,DB,Glassboro,NJ,USA
4685516,Shazz Preston,5,Alabama,72,206,2,WR,Saint James,LA,USA
4685519,Elijah Pritchett,5,Alabama,78,327,2,OL,Columbus,GA,USA
4685522,Ty Simpson,5,Alabama,74,215,2,QB,Martin,TN,USA
4685535,CJ Stokes,3,Michigan,70,205,2,RB,Columbia,SC,USA
4685575,J'Mond Tapp,4,Texas,75,266,2,DL,Donaldsonville,LA,USA
4685590,Cameron Williams,4,Texas,77,335,3,OL,Duncanville,TX,USA
4685591,Larry Turner-Gooden,4,Texas,71,212,2,S,Los Angeles,CA,USA
4685723,Roydell Williams,4,Alabama,70,214,4,RB,Hueytown,AL,USA
4685735,Cole Hutson,4,Texas,77,310,3,OL,Frisco,TX,USA
4685737,Neto Umeozulu,4,Texas,76,330,2,OL,Allen,TX,USA
4686332,Zac Swanson,4,Texas,76,282,2,DL,Phoenix,AZ,USA
4686728,Gunnar Helm,3,Texas,77,250,4,TE,Englewood,CO,USA
4689338,Dillon Johnson,3,Washington,72,218,3,RB,Greenville,MS,USA
4690298,Jake Thaw,0,Michigan,73,192,4,WR,Westport,CT,USA
4690299,Christian Bartholomew,0,Michigan,72,187,4,WR,Galesburg,MI,USA
4690300,Will Rolapp,0,Michigan,72,198,4,WR,Darien,CT,USA
4690303,Joshua Luther,0,Michigan,69,182,4,DB,Clarkston,MI,USA
4690304,Greg Tarr,0,Michigan,74,215,4,LS,Washington,MI,USA
4690305,Jerome Nichols,0,Michigan,72,235,4,LB,Belleville,MI,USA
4690306,Noah Stewart,3,Michigan,79,292,4,OL,Muskegon,MI,USA
4690811,Savion Red,3,Texas,70,214,3,RB,Grand Prairie,TX,USA
4690975,Tannahill Love,0,Texas,71,225,4,LB,Fort Worth,TX,USA
4690976,Paxton Anderson,0,Texas,76,213,4,WR,Dallas,TX,USA
4691142,Vincent Nunley,0,Washington,73,187,2,S,Oakland,CA,USA
4691688,Robbie Ouzts,3,Alabama,76,270,4,TE,Rock Hill,SC,USA
4692023,Kristian Story,4,Alabama,73,213,4,DB,Lanett,AL,USA
4692024,Malachi Moore,4,Alabama,72,201,4,DB,Trussville,AL,USA
4692032,Jordan Smith,0,Alabama,70,210,4,LB,Chelsea,AL,USA
4692033,Tim Smith,5,Alabama,76,314,4,DL,Gifford,FL,USA
4692034,Kyle Flood Jr.,0,Alabama,72,212,4,LB,Middlesex,NJ,USA
4692044,Jah-Marien Latham,4,Alabama,75,278,4,DL,Reform,AL,USA
4692048,Que Robinson,5,Alabama,77,241,4,LB,Birmingham,AL,USA
4694152,Max Merril,3,Texas,76,295,3,OL,Houston,TX,USA
4695287,Jonathan Bennett,0,Alabama,70,180,4,RB,Birmingham,AL,USA
4695289,Robert Ellis,0,Alabama,72,220,4,TE,Enterprise,AL,USA
4695294,Charlie Skehan,0,Alabama,73,235,4,TE,Columbia,SC,USA
4695295,Bennett Whisenhunt,0,Alabama,73,222,4,LB,Vestavia,AL,USA
4695705,Marlin Klein,3,Michigan,78,247,3,TE,Cologne,,Germany
4696013,Adam Saul,0,Washington,78,192,3,P,Gurnee,IL,USA
4696688,Josh Beetham,0,Michigan,77,250,3,TE,Yorkville,IL,USA
4696746,Sam Willoughby,0,Alabama,70,165,4,WR,Vestavia Hills,AL,USA
4697671,Bradley McGannon,2,Washington,76,283,2,DL,Yelm,WA,USA
4697673,Addison Shrock,0,Washington,73,188,2,PK,Bellingham,WA,USA
4701935,Terrance Brooks,4,Texas,72,210,3,DB,Little Elm,TX,USA
4701937,Myles Pollard,3,Michigan,73,194,3,DB,Brentwood,TN,USA
4702755,Amorion Walker,3,Michigan,75,182,3,WR,Ponchatoula,LA,USA
4704532,Kristopher Ross,0,Texas,74,263,2,DL,Houston,TX,USA
4706856,X'Avion Brice,3,Texas,73,174,2,CB,Arlington,TX,USA
4708062,Cole Lourd,3,Texas,74,215,4,QB,Los Angeles,CA,USA
4708488,Antonio Kite,4,Alabama,72,175,2,CB,Anniston,AL,USA
4711413,Connor Jones,3,Michigan,78,320,3,OL,Monument,CO,USA
4712882,Ike Iwunnah,3,Michigan,75,313,4,DL,Garland,TX,USA
4717429,Jaray Bledsoe,4,Texas,76,290,2,DL,Marlin,TX,USA
4723086,Colston Loveland,4,Michigan,77,245,3,TE,Gooding,ID,USA
4751681,Ernest Hausmann,3,Michigan,74,235,3,LB,Columbus,NE,USA
4794102,Zeke Berry,4,Michigan,71,196,3,DB,Pittsburg,CA,USA
4801729,Aaron Bryant,4,Texas,74,305,2,DL,Southaven,MS,USA
4806290,Connor Robertson,3,Texas,76,310,2,OL,Austin,TX,USA
4808746,Micah Pollard,3,Michigan,74,234,3,LB,Jacksonville,FL,USA
4808839,Isaiah Bond,5,Alabama,71,180,3,WR,Buford,GA,USA
4816090,Parker Brailsford,3,Washington,74,290,2,OL,Mesa,AZ,USA
4816097,Lance Holtzclaw,3,Washington,75,224,2,EDGE,Dorchester,MA,USA
4832800,Denzel Boston,3,Washington,76,209,2,WR,South Hill,WA,USA
