"id","name","team","height","weight","year","position","hometown","state","country","latitude","longitude","formatted_height","stars"
4360423,"Michael Penix Jr.","Washington","75.0","213.0","4","QB","Tampa","FL","USA","27.947760","-82.458444","6'3""","3"
4361025,"Jack Tuttle","Michigan","76.0","211.0","4","QB","San Marcos","CA","USA","33.135300","-117.174340","6'4""","4"
4361094,"Dominique Hampton","Washington","75.0","220.0","4","CB","Glendale","AZ","USA","33.538686","-112.185994","6'3""","3"
4361095,"Richard Newton","Washington","72.0","223.0","4","RB","Lancaster","CA","USA","34.698106","-118.136615","6'0""","3"
4361100,"Jack Westover","Washington","75.0","248.0","4","TE","Bellevue","WA","USA","47.614422","-122.192337","6'3""","0"
4361105,"Zion Tupuola-Fetui","Washington","76.0","254.0","4","DE","Pearl City","HI","USA","21.400123","-157.969428","6'4""","3"
4361107,"Ulumoo Ale","Washington","78.0","327.0","4","DL","Tacoma","WA","USA","47.245501","-122.438329","6'6""","3"
4361109,"Matteo Mele","Washington","78.0","298.0","4","OL","Tucson","AZ","USA","32.222877","-110.974847","6'6""","3"
4361112,"Devin Culp","Washington","76.0","237.0","4","TE","Spokane","WA","USA","47.657193","-117.423510","6'4""","3"
4361113,"Tuli Letuligasenoa","Washington","73.0","292.0","4","DL","Concord","CA","USA","37.976853","-122.033562","6'1""","4"
4361991,"Cam Goode","Michigan","73.0","314.0","4","DL","Washington","DC","USA","38.895037","-77.036543","6'1""","3"
4362103,"Christian Jones","Texas","78.0","321.0","4","OL","Cypress","TX","USA","29.969112","-95.697169","6'6""","3"
4363417,"Jaylen Key","Alabama","74.0","210.0","4","DB","Tallahassee","FL","USA","30.438083","-84.280933","6'2""","3"
4369467,"Zach Peterson","Michigan","73.0","190.0","4","WR","Roswell","GA","USA","34.023320","-84.360022","6'1""","0"
4372062,"Michael Barrett","Michigan","72.0","239.0","4","LB","Valdosta","GA","USA","30.832702","-83.278485","6'0""","3"
4372065,"German Green","Michigan","74.0","190.0","4","DB","Desoto","TX","USA","32.589783","-96.857018","6'2""","3"
4374280,"Edefuan Ulofoshio","Washington","73.0","236.0","4","LB","Anchorage","AK","USA","61.216313","-149.894852","6'1""","2"
4426352,"Jacob Bandes","Washington","75.0","307.0","4","DL","Pittsburg","CA","USA","38.018175","-121.890123","6'3""","4"
4426380,"Faatui Tuitele","Washington","75.0","317.0","3","DL","Honolulu","HI","USA","21.304547","-157.855676","6'3""","4"
4426398,"David Gbenda","Texas","72.0","235.0","4","LB","Katy","TX","USA","29.785785","-95.824396","6'0""","4"
4426450,"Trente Jones","Michigan","76.0","325.0","4","OL","Grayson","GA","USA","33.894273","-83.955740","6'4""","4"
4426479,"Cornelius Johnson","Michigan","75.0","208.0","4","WR","Greenwich","CT","USA","41.026486","-73.628460","6'3""","4"
4426638,"Karsen Barnhart","Michigan","77.0","316.0","4","OL","Paw Paw","MI","USA","42.217817","-85.891125","6'5""","4"
4426651,"Patrick Bayouth","Texas","76.0","281.0","4","TE","Bellaire","TX","USA","29.705786","-95.458830","6'4""","3"
4426677,"Trezmen Marshall","Alabama","73.0","236.0","3","LB","Homerville","GA","USA","31.036598","-82.747085","6'1""","4"
4426821,"Julius Buelow","Washington","80.0","315.0","4","OL","Kapolei","HI","USA","21.334008","-158.077849","6'8""","4"
4426836,"Jett Bush","Texas","74.0","242.0","4","LB","Houston","TX","USA","29.758938","-95.367697","6'2""","2"
4427140,"Trevor Keegan","Michigan","78.0","320.0","4","OL","Crystal Lake","IL","USA","42.241134","-88.316197","6'6""","4"
4427160,"Kamren Fabiculanan","Washington","73.0","200.0","4","S","Camarillo","CA","USA","34.217637","-119.038354","6'1""","4"
4427170,"Troy Fautanu","Washington","76.0","317.0","3","OL","Henderson","NV","USA","36.031984","-114.982249","6'4""","4"
4427219,"Drew Fowler","Washington","73.0","222.0","4","LB","Bellevue","WA","USA","47.614422","-122.192337","6'1""","3"
4427294,"Ralen Goforth","Washington","74.0","237.0","4","LB","Long Beach","CA","USA","33.769016","-118.191604","6'2""","3"
4427448,"LaDarius Henderson","Michigan","76.0","315.0","4","OL","Waxahachie","TX","USA","32.394491","-96.843937","6'4""","3"
4427569,"Giles Jackson","Washington","69.0","187.0","4","WR","Antioch","CA","USA","38.004921","-121.805789","5'9""","4"
4427676,"Nate Kalepo","Washington","78.0","325.0","4","OL","Renton","WA","USA","47.479908","-122.203450","6'6""","4"
4427736,"Caden Kolesar","Michigan","70.0","195.0","4","DB","Westlake","OH","USA","41.455323","-81.917917","5'10""","0"
4428116,"Isaiah Neyor","Texas","76.0","220.0","4","WR","Fort Worth","TX","USA","32.753177","-97.332746","6'4""","2"
4428144,"Drake Nugent","Michigan","74.0","301.0","4","OL","Lone Tree","CO","USA","39.536415","-104.904153","6'2""","3"
4428414,"Mike Sainristil","Michigan","70.0","182.0","4","DB","Everett","MA","USA","42.408430","-71.053663","5'10""","3"
4428617,"T'Vondre Sweat","Texas","76.0","362.0","4","DL","Huntsville","TX","USA","30.723526","-95.550777","6'4""","3"
4428713,"Bralen Trice","Washington","76.0","274.0","3","DE","Phoenix","AZ","USA","33.448437","-112.074141","6'4""","3"
4428726,"Alphonzo Tuputala","Washington","74.0","230.0","4","LB","Federal Way","WA","USA","47.313494","-122.339310","6'2""","3"
4428989,"Chris Braswell","Alabama","75.0","255.0","4","LB","Baltimore","MD","USA","39.290882","-76.610759","6'3""","5"
4429000,"Myles Hinton","Michigan","78.0","342.0","4","OL","Johns Creek","GA","USA","34.018156","-84.190196","6'6""","4"
4429001,"Jase McClellan","Alabama","71.0","212.0","4","RB","Aledo","TX","USA","32.697994","-97.603994","5'11""","5"
4429005,"Braiden McGregor","Michigan","78.0","267.0","4","DE","Port Huron","MI","USA","42.976085","-82.433374","6'6""","4"
4429033,"Jermaine Burton","Alabama","72.0","194.0","4","WR","Calabasas","CA","USA","34.144664","-118.644097","6'0""","4"
4429040,"Vernon Broughton","Texas","76.0","305.0","4","DL","Houston","TX","USA","29.758938","-95.367697","6'4""","4"
4429058,"Jaylen Harrell","Michigan","76.0","242.0","4","DE","Tampa","FL","USA","27.947760","-82.458444","6'4""","4"
4429089,"Geirean Hatchett","Washington","77.0","312.0","4","OL","Ferndale","WA","USA","48.846670","-122.589723","6'5""","4"
4429096,"Blake Corum","Michigan","68.0","213.0","4","RB","Marshall","VA","USA","38.864698","-77.858021","5'8""","4"
4429121,"Kalel Mullings","Michigan","74.0","233.0","4","RB","West Roxbury","MA","USA","42.279265","-71.149497","6'2""","4"
4429139,"Makari Paige","Michigan","76.0","208.0","4","DB","West Bloomfield","MI","USA","42.567616","-83.359256","6'4""","4"
4429186,"Sam Adams II","Washington","74.0","212.0","3","RB","Kirkland","WA","USA","47.676538","-122.207078","6'2""","4"
4429187,"Seth McLaughlin","Alabama","76.0","305.0","4","OL","Buford","GA","USA","34.120656","-84.004351","6'4""","3"
4429381,"Trill Carter","Texas","72.0","299.0","4","DL","Leesburg","GA","USA","31.732456","-84.171197","6'0""","3"
4429490,"Carson Bruener","Washington","74.0","226.0","4","LB","Woodinville","WA","USA","47.754583","-122.158890","6'2""","3"
4429552,"Eamonn Dennis","Michigan","69.0","194.0","4","WR","Worcester","MA","USA","42.262562","-71.801888","5'9""","3"
4429694,"Makell Esteen","Washington","73.0","202.0","3","S","Hawthorne","CA","USA","33.912827","-118.342612","6'1""","3"
4429913,"Quinten Johnson","Michigan","71.0","203.0","4","DB","Washington","DC","USA","38.895037","-77.036543","5'11""","4"
4430565,"Will Nixon","Washington","71.0","202.0","3","RB","Waco","TX","USA","31.549190","-97.147463","5'11""","3"
4430616,"Asa Turner","Washington","75.0","210.0","4","DB","Carlsbad","CA","USA","33.158093","-117.350597","6'3""","4"
4430637,"Ja'Lynn Polk","Washington","74.0","204.0","2","WR","Lufkin","TX","USA","31.338624","-94.728856","6'2""","3"
4430638,"Joey Velazquez","Michigan","71.0","226.0","4","LB","Columbus","OH","USA","39.962260","-83.000707","5'11""","3"
4430810,"Daniyel Ngata","Washington","69.0","191.0","4","RB","Folsom","CA","USA","38.677959","-121.176058","5'9""","4"
4430814,"Jake Majors","Texas","75.0","315.0","4","OL","Prosper","TX","USA","33.238576","-96.786606","6'3""","4"
4430821,"Kitan Crawford","Texas","71.0","206.0","4","S","Tyler","TX","USA","32.351260","-95.301062","5'11""","4"
4430834,"Jalen McMillan","Washington","73.0","192.0","3","WR","Fresno","CA","USA","36.739442","-119.784830","6'1""","5"
4430835,"Alfred Collins","Texas","77.0","320.0","4","DL","Bastrop","TX","USA","30.054112","-97.388776","6'5""","5"
4430876,"Roger Rosengarten","Washington","78.0","300.0","2","OL","Highlands Ranch","CO","USA","39.549724","-104.969565","6'6""","4"
4430888,"Jerrin Thompson","Texas","72.0","186.0","4","S","Lufkin","TX","USA","31.338624","-94.728856","6'0""","4"
4430915,"Reece Atteberry","Michigan","77.0","309.0","4","DL","Aurora","CO","USA","39.740511","-104.830994","6'5""","3"
4430925,"Jahdae Barron","Texas","71.0","200.0","4","DB","Pflugerville","TX","USA","30.439370","-97.620004","5'11""","4"
4431212,"Junior Colson","Michigan","75.0","247.0","3","LB","Brentwood","TN","USA","36.032569","-86.782524","6'3""","4"
4431214,"Hayden Conner","Texas","77.0","320.0","4","OL","Katy","TX","USA","29.785785","-95.824396","6'5""","3"
4431256,"Cristian Dixon","Michigan","74.0","197.0","3","WR","Santa Ana","CA","USA","33.749495","-117.873221","6'2""","4"
4431264,"Gaard Memmelaar","Washington","76.0","299.0","3","OL","Caldwell","ID","USA","43.667874","-116.689415","6'4""","3"
4431288,"Monkell Goodwine","Alabama","75.0","311.0","3","DT","Upper Marlboro","MD","USA","38.816245","-76.751708","6'3""","4"
4431299,"Rome Odunze","Washington","75.0","215.0","3","WR","Las Vegas","NV","USA","36.167256","-115.148516","6'3""","4"
4431317,"Jeffrey Persi","Michigan","80.0","310.0","4","OL","Mission Viejo","CA","USA","33.596569","-117.659405","6'8""","4"
4431414,"Tim Keenan III","Alabama","74.0","326.0","3","DL","Birmingham","AL","USA","33.520682","-86.802433","6'2""","4"
4431437,"JC Latham","Alabama","78.0","360.0","3","OL","Oak Creek","WI","USA","42.898729","-87.917797","6'6""","5"
4431492,"Roman Wilson","Michigan","72.0","192.0","4","WR","Honolulu","HI","USA","21.304547","-157.855676","6'0""","4"
4431500,"Kendrick Blackshire","Alabama","73.0","250.0","4","LB","Duncanville","TX","USA","32.651800","-96.908337","6'1""","4"
4431503,"Damon Payne Jr.","Alabama","76.0","313.0","3","DL","Belleville","MI","USA","42.204841","-83.485211","6'4""","5"
4431506,"Ja'Corey Brooks","Alabama","75.0","195.0","4","WR","Miami","FL","USA","25.774173","-80.193620","6'3""","0"
4431513,"Tyler Buchner","Alabama","73.0","215.0","4","WR","San Diego","CA","USA","32.717420","-117.162772","6'1""","4"
4431529,"Jaeden Roberts","Alabama","77.0","310.0","3","OL","Houston","TX","USA","29.758938","-95.367697","6'5""","4"
4431536,"Donovan Edwards","Michigan","73.0","212.0","4","RB","West Bloomfield","MI","USA","42.567616","-83.359256","6'1""","5"
4431538,"Giovanni El-Hadi","Michigan","77.0","310.0","4","OL","Sterling Heights","MI","USA","42.580312","-83.030203","6'5""","4"
4431542,"TJ Ferguson","Alabama","76.0","330.0","3","OL","Fort Valley","GA","USA","32.553759","-83.887408","6'4""","5"
4431588,"Ja'Tavion Sanders","Texas","76.0","243.0","3","TE","Denton","TX","USA","33.183879","-97.141342","6'4""","5"
4432260,"Matthew Hibner","Michigan","77.0","254.0","4","TE","Burke","VA","USA","38.778416","-77.274964","6'5""","4"
4432272,"Gavin Holmes","Texas","71.0","185.0","4","DB","New Orleans","LA","USA","29.975998","-90.078213","5'11""","3"
4432301,"Kris Jenkins","Michigan","75.0","305.0","4","DL","Olney","MD","USA","39.153212","-77.066841","6'3""","3"
4432440,"Jabbar Muhammad","Washington","70.0","183.0","4","DB","Desoto","TX","USA","32.589783","-96.857018","5'10""","3"
4432466,"Samuel Peacock","Washington","78.0","296.0","2","OL","Gig Harbor","WA","USA","47.325970","-122.587866","6'6""","3"
4432658,"Raheem Anderson","Michigan","75.0","318.0","4","OL","Detroit","MI","USA","42.331551","-83.046640","6'3""","4"
4432661,"Rayshaun Benny","Michigan","76.0","296.0","4","DL","Detroit","MI","USA","42.331551","-83.046640","6'4""","4"
4432684,"Greg Crippen","Michigan","76.0","309.0","4","OL","Northborough","MA","USA","42.319602","-71.642241","6'4""","4"
4432725,"Deontae Lawson","Alabama","74.0","239.0","3","LB","Mobile","AL","USA","30.691346","-88.043751","6'2""","5"
4432734,"Jalen Milroe","Alabama","74.0","225.0","3","QB","Katy","TX","USA","29.785785","-95.824396","6'2""","4"
4433963,"Zak Zinter","Michigan","78.0","322.0","4","OL","North Andover","MA","USA","42.683989","-71.112707","6'6""","4"
4433970,"J.J. McCarthy","Michigan","75.0","202.0","3","QB","La Grange Park","IL","USA","41.833365","-87.867732","6'3""","5"
4433975,"Kool-Aid McKinstry","Alabama","73.0","195.0","3","DB","Birmingham","AL","USA","33.520682","-86.802433","6'1""","5"
4489406,"Chase Davis","Alabama","73.0","182.0","3","DB","Tuscaloosa","AL","USA","33.209561","-87.567526","6'1""","0"
4565190,"Dallas Turner","Alabama","76.0","242.0","3","LB","Fort Lauderdale","FL","USA","26.122308","-80.143379","6'4""","5"
4566088,"Jaylan Ford","Texas","75.0","242.0","4","LB","Frisco","TX","USA","33.150600","-96.823818","6'3""","3"
4567095,"Keilan Robinson","Texas","69.0","188.0","4","RB","Washington","DC","USA","38.895037","-77.036543","5'9""","4"
4567104,"Will Reichard","Alabama","73.0","194.0","4","PK","Hoover","AL","USA","33.350293","-86.851123","6'1""","3"
4567132,"Darrian Dalcourt","Alabama","75.0","310.0","4","OL","Havre De Grace","MD","USA","39.548827","-76.089826","6'3""","4"
4567138,"Justin Eboigbe","Alabama","77.0","292.0","4","DL","Forest Park","GA","USA","33.622054","-84.369092","6'5""","4"
4567148,"Jalen Catalon","Texas","71.0","205.0","4","DB","Mansfield","TX","USA","32.563487","-97.142031","5'11""","4"
4567783,"James Brockermeyer","Alabama","75.0","285.0","3","OL","Fort Worth","TX","USA","32.753177","-97.332746","6'3""","4"
4568075,"Juan Davis","Texas","76.0","235.0","4","TE","Fort Worth","TX","USA","32.753177","-97.332746","6'4""","3"
4569337,"Ryan Sanborn","Texas","75.0","211.0","1","P","San Diego","CA","USA","32.717420","-117.162772","6'3""","3"
4569382,"Jordan Whittington","Texas","73.0","204.0","4","WR","Cuero","TX","USA","29.093804","-97.290056","6'1""","5"
4569409,"Gabriel Lozano","Texas","73.0","185.0","4","PK","Austin","TX","USA","30.271129","-97.743700","6'1""","0"
4569594,"Cameron Davis","Washington","72.0","214.0","4","RB","Bryant","AR","USA","34.595905","-92.488348","6'0""","4"
4569598,"Dylan Morris","Washington","73.0","202.0","4","QB","Puyallup","WA","USA","47.184901","-122.292140","6'1""","4"
4569600,"Mishael Powell","Washington","73.0","210.0","4","DB","Seattle","WA","USA","47.603832","-122.330062","6'1""","3"
4570039,"Keanu Koht","Alabama","76.0","242.0","3","LB","Vero Beach","FL","USA","27.638716","-80.397540","6'4""","5"
4570040,"Byron Murphy II","Texas","73.0","308.0","3","DL","Desoto","TX","USA","32.589783","-96.857018","6'1""","4"
4571267,"Dale Chesson","Michigan","72.0","194.0","4","WR","Saint Louis","MO","USA","38.628028","-90.191015","6'0""","0"
4572041,"Danny Hughes","Michigan","72.0","208.0","4","RB","Naperville","IL","USA","41.772870","-88.147928","6'0""","0"
4572043,"Leon Franklin","Michigan","69.0","205.0","4","RB","Southfield","MI","USA","42.473369","-83.221873","5'9""","0"
4572050,"Keshaun Harris","Michigan","71.0","192.0","4","DB","Lansing","MI","USA","42.733825","-84.554630","5'11""","0"
4572051,"William Wagner","Michigan","74.0","245.0","4","LS","Alpharetta","GA","USA","34.070958","-84.274733","6'2""","0"
4572371,"Josh Wallace","Michigan","72.0","190.0","4","DB","Hyattsville","MD","USA","38.952944","-76.940865","6'0""","3"
4574689,"Trey Amos","Alabama","73.0","200.0","4","CB","New Iberia","LA","USA","30.003537","-91.818729","6'1""","3"
4574713,"Jaden Green","Washington","71.0","214.0","3","LS","Gilbert","AZ","USA","33.352763","-111.789037","5'11""","3"
4575529,"James Turner","Michigan","72.0","196.0","4","PK","Saline","MI","USA","42.166707","-83.781608","6'0""","0"
4575923,"Elijah Jackson","Washington","73.0","193.0","3","CB","Carson","CA","USA","33.832204","-118.251755","6'1""","3"
4576297,"AJ Barner","Michigan","78.0","251.0","4","TE","Aurora","OH","USA","41.317555","-81.345386","6'6""","3"
4578494,"Sawyer Goram-Welch","Texas","76.0","307.0","4","DL","Longview","TX","USA","32.500703","-94.740490","6'4""","3"
4581579,"Sekai Asoau-Afoa","Washington","76.0","263.0","4","DE","Tacoma","WA","USA","47.245501","-122.438329","6'4""","0"
4588194,"Dyson McCutcheon","Washington","71.0","182.0","3","DB","Claremont","CA","USA","34.096676","-117.719779","5'11""","3"
4592570,"Ian Jackson","Alabama","74.0","220.0","3","LB","Prattville","AL","USA","32.460014","-86.475317","6'2""","4"
4592837,"Terrion Arnold","Alabama","72.0","196.0","2","DB","Tallahassee","FL","USA","30.438083","-84.280933","6'0""","5"
4594449,"DeVonta Smith","Alabama","72.0","205.0","3","DB","Cincinnati","OH","USA","39.101454","-84.512460","6'0""","0"
4594984,"Tavierre Dunlap","Michigan","72.0","229.0","4","RB","Del Valle","TX","USA",NULL,NULL,"6'0""","3"
4596357,"Kechaun Bennett","Michigan","76.0","257.0","4","DE","Suffield","CT","USA","41.981694","-72.650660","6'4""","4"
4596545,"CJ Dippre","Alabama","77.0","262.0","4","TE","SCOTT TOWNSHIP","PA","USA","40.391656","-80.075790","6'5""","3"
4597500,"Adonai Mitchell","Texas","76.0","196.0","3","WR","Missouri City","TX","USA","29.618567","-95.537722","6'4""","4"
4599197,"Tristan Bounds","Michigan","80.0","305.0","4","OL","Wallingford","CT","USA","41.457042","-72.823155","6'8""","3"
4600387,"TJ Guy","Michigan","76.0","250.0","4","DE","Mansfield","MA","USA","42.033433","-71.218941","6'4""","3"
4602016,"Anquin Barnes Jr.","Alabama","77.0","314.0","2","DL","Montgomery","AL","USA","32.377420","-86.309168","6'5""","0"
4602199,"Charles Wright","Texas","73.0","203.0","2","QB","Austin","TX","USA","30.271129","-97.743700","6'1""","3"
4602936,"Morice Blackwell Jr.","Texas","73.0","220.0","4","LB","Arlington","TX","USA","32.735582","-97.107119","6'1""","4"
4603101,"Rod Moore","Michigan","72.0","198.0","4","DB","Clayton","OH","USA","39.863110","-84.360502","6'0""","3"
4603190,"Casey Cain","Texas","75.0","200.0","3","WR","New Orleans","LA","USA","29.975998","-90.078213","6'3""","3"
4611768,"Jaydon Hood","Michigan","73.0","225.0","4","LB","Fort Lauderdale","FL","USA","26.122308","-80.143379","6'1""","4"
4678008,"Jonathon Brooks","Texas","72.0","207.0","2","RB","Hallettsville","TX","USA","29.443853","-96.941093","6'0""","4"
4682698,"Dominick Giudice","Michigan","76.0","310.0","4","OL","Freehold","NJ","USA","40.260110","-74.273757","6'4""","3"
4682758,"Tommy Doman","Michigan","76.0","215.0","4","PK","Rochester Hills","MI","USA","42.658366","-83.149932","6'4""","3"
4682983,"Josaiah Stewart","Michigan","73.0","245.0","4","DE","Everett","MA","USA","42.408430","-71.053663","6'1""","3"
4683062,"Xavier Worthy","Texas","73.0","172.0","3","WR","Fresno","CA","USA","36.739442","-119.784830","6'1""","5"
4683118,"Ja'Den McBurrows","Michigan","71.0","194.0","4","DB","Fort Lauderdale","FL","USA","26.122308","-80.143379","5'11""","3"
4683138,"Voi Tunuufi","Washington","73.0","282.0","4","EDGE","South Jordan","UT","USA","40.558488","-111.936711","6'1""","3"
4683181,"Robert Wyrsch","Washington","79.0","293.0","2","OL","Capitola","CA","USA","36.976293","-121.954057","6'7""","3"
4683262,"Tyler McLaurin","Michigan","75.0","252.0","4","DE","Bolingbrook","IL","USA","41.700330","-88.071771","6'3""","3"
4683386,"William Haskell","Washington","76.0","200.0","2","QB","Glendale","AZ","USA","33.538686","-112.185994","6'4""","3"
4683554,"Darren Barkins","Washington","71.0","169.0","3","CB","Spring Valley","CA","USA","32.729571","-116.966890","5'11""","3"
4683643,"Barryn Sorrell","Texas","76.0","260.0","4","LB","New Orleans","LA","USA","29.975998","-90.078213","6'4""","3"
4684069,"Maurice Heims","Washington","77.0","263.0","3","EDGE","Hamburg",NULL,"Germany","53.550341","10.000654","6'5""","3"
4685092,"Ryan Watts","Texas","75.0","213.0","4","DB","Little Elm","TX","USA","33.162619","-96.937505","6'3""","4"
4685240,"Malik Agbo","Texas","76.0","300.0","2","OL","Federal Way","WA","USA","47.313494","-122.339310","6'4""","4"
4685241,"BJ Allen Jr.","Texas","72.0","191.0","2","S","Aledo","TX","USA","32.697994","-97.603994","6'0""","4"
4685243,"Jeremiah Alexander","Alabama","74.0","232.0","2","LB","Alabaster","AL","USA","33.244281","-86.816377","6'2""","5"
4685260,"Kelvin Banks Jr.","Texas","76.0","320.0","3","OL","Humble","TX","USA","29.998831","-95.262155","6'4""","5"
4685261,"Germie Bernard","Washington","73.0","209.0","3","WR","Henderson","NV","USA","36.031984","-114.982249","6'1""","4"
